"date","brl","cny","mxn","brl_interpolated","cny_interpolated","mxn_interpolated"
2000-01-03,1.805,8.2798,9.4015,FALSE,FALSE,FALSE
2000-01-04,1.8405,8.2799,9.457,FALSE,FALSE,FALSE
2000-01-05,1.856,8.2798,9.535,FALSE,FALSE,FALSE
2000-01-06,1.84,8.2797,9.567,FALSE,FALSE,FALSE
2000-01-07,1.831,8.2794,9.52,FALSE,FALSE,FALSE
2000-01-08,1.831,8.2794,9.52,TRUE,TRUE,TRUE
2000-01-09,1.831,8.2794,9.52,TRUE,TRUE,TRUE
2000-01-10,1.819,8.2794,9.445,FALSE,FALSE,FALSE
2000-01-11,1.8225,8.2795,9.4825,FALSE,FALSE,FALSE
2000-01-12,1.835,8.2796,9.515,FALSE,FALSE,FALSE
2000-01-13,1.814,8.2798,9.51,FALSE,FALSE,FALSE
2000-01-14,1.805,8.2797,9.455,FALSE,FALSE,FALSE
2000-01-15,1.805,8.2797,9.455,TRUE,TRUE,TRUE
2000-01-16,1.805,8.2797,9.455,TRUE,TRUE,TRUE
2000-01-17,1.805,8.2797,9.455,TRUE,TRUE,TRUE
2000-01-18,1.7942,8.2793,9.441,FALSE,FALSE,FALSE
2000-01-19,1.793,8.2797,9.418,FALSE,FALSE,FALSE
2000-01-20,1.7785,8.2794,9.408,FALSE,FALSE,FALSE
2000-01-21,1.78,8.2795,9.447,FALSE,FALSE,FALSE
2000-01-22,1.78,8.2795,9.447,TRUE,TRUE,TRUE
2000-01-23,1.78,8.2795,9.447,TRUE,TRUE,TRUE
2000-01-24,1.768,8.2789,9.485,FALSE,FALSE,FALSE
2000-01-25,1.78,8.2786,9.525,FALSE,FALSE,FALSE
2000-01-26,1.781,8.2782,9.5175,FALSE,FALSE,FALSE
2000-01-27,1.78,8.2783,9.52,FALSE,FALSE,FALSE
2000-01-28,1.79,8.2781,9.581,FALSE,FALSE,FALSE
2000-01-29,1.79,8.2781,9.581,TRUE,TRUE,TRUE
2000-01-30,1.79,8.2781,9.581,TRUE,TRUE,TRUE
2000-01-31,1.802,8.2777,9.64,FALSE,FALSE,FALSE
2000-02-01,1.795,8.2774,9.597,FALSE,FALSE,FALSE
